ID,Reference,Prediction,WER
0,"pendahuluan,  pendapat  awal  saya  mengenai  masalah  yang  sedang  dihadapi  oleh  orang  melayu  dibentangkan  untuk  pertama  kalinya  sewaktu  menjawab  cabaran  yang  dikemukakan  oleh  profesor  ungku  aziz,  professor  ekonomi,  (sekarang  professor  diraja  dan  naib","pendahuluan,  pendapat  awal  saya  mengenai  masalah  yang  sedang  dihadapi  oleh  orang  melayu  dibentankan  untuk  pertama  kalinya  suatu  menjawab  cabaran  yang  dikemukakan  oleh  profesor  ungku  aziz,  profesor ekonomi,  sekarang  profesor  diraja  dan  naik.",0.1875
1,"canselor  di  universiti  malaya.  di  dalam  satu  seminar  yang  diadakan  di  kuala  lumpur  pada  tahun  1966,  ketika  membincangkan  sebab-sebab  lemahnya  pencapaian  pelajar-pelajar  melayu,  saya  telah  menyebut,  antara  lain,","chanceler  di  universiti  malaya.  di  dalam  satu  seminar  yang  diadakan  dikuala  lumpur  pada  tahun  1966,  ketika  membincangkan  sebab-sebap  lemahnya  pencapaian  pelajar  peraja  melayu,  saya  telah  menyebut  antara  lain,  dan  terlalu  berjagaan  keadaannya.",0.39285714285714285
2,tentang  pengaruh  ke  turunan  dan  alam  sekitar  sebagai  faktor -faktor  yang  menyebabkan  wujudnya  masalah  ini.,"tentang  pengaruh  keturunan  dan  alam  sekitar  sebagai  faktor  yang  menyebabkan  wujudnya  masalah  ini.  tentang  penyakit,  kebanyakan  berkata-gapir  tersebut  dengan  percumaian  kerjaa  kerajuan  dihidupi  sehingga  mereka  tidak  mempunyai  pekerjaan  atau  perekaan  bahagia  pada  makna  baca  perkara  bagana  mengalami  agama  serta  apa  itu  akan  merayu  takut  ada  syabas  dalam  masa  selalu  untuk  muka  jadah  tiga  securus  sengguhan  dari  pertumbuhan  tanpa  raja  sedikit  setelah  cerita  seperti  saya  sudah  melatih  sama  semula  kepada  baruluk  yang  benarkannya  juga  menyegok  daripada  karena  banyak  cac",4.533333333333333
3,"memang  tidak  dapat  dinafikan  bahawa  lain-lain  faktor  seperti  dasar  pelajaran,  kemudahan  yang  tidak  mencukupi,  kekurangan  guru  serta  guru  yang  tidak  cukup  terlatih  turut  memainkan  peranan  dalam  meningkatkan  lagi  peratus  kegagalan  di  kalangan  pelajar","memang  tidak  dapat  dinafikan  bahawa  lain-lain  faktor  seperti  dasar  pelajaran,  kemudahan  yang  tidak  mencukupi,  kekurangan  guru  seteguru  yang  tidak �.  turut  memainkan  peranan  dalam  meningkatkan  lagi  peratus  kegagalan  dikalahin  pelaja  berjaya.",0.21212121212121213
4,"melayu.  namun,  pada  hemat  saya,  faktor -faktor  keturunan  dan  alam  sekitar  tidak  boleh  diketepikan  begitu  sahaja  tanpa  diberi  perhatian  yang  serius.","melayu.  namun,  pada  hemat  saya,  faktor-faktor  keturunan dan  alam  sekitar  tidak  boleh  diketepikan  begitu  sahaja  tanpa  diberi  perhatian  yang  serius.  pada  kebanyakan  berjaya,  terguna  kerjaaahnya  mencari  penyakitkan  pula  bahawa  kerajaannya  mempengaruhkana  benda  ini  akan  menghidapkan  pekerjaan  dengan  syabut  sehingga  mereka  tak  ada  apa-apa  dalam  halanya.",1.2857142857142858
5,pandangan  yang  sedemikian  pada  umumnya  telah  tidak  dipersetujui  oleh  peserta -peserta  seminar  terutama sekali  oleh  profesor  ungku aziz  sebab  pandangan  tersebut  dikatakan  memberi  takrif  bahawa  orang  melayu  memang  pada  lahiriahnya  adalah  bersifat,"pandangan  yang  sedemikian  pada  umumnya  telah  tidak  dipersejujui  oleh  peserta  perseta  seminar,  terutama  sekali  oleh  profesor  unku,  aziz,  sebab  pandangan  tersebut  dikatakan  memberi  takrif  bahawa  orang  melayu  memang  padalahirihannya  adalah  bersifat  dan  berbentuk.",0.28125
6,"inferior  atau  rendandiri.  oleh  kerana sifat  ini  dikatakan  terdapat  dalam  zuriat  orang  melayu,  maka  ini  bermakna  is  kekal  turun-temurun.","inferior atau rendan  diri. oleh  kerana  sifat  ini,  dikatakan  terdapat  dalam  zuriak  orang  melayu,  maka  ini  bermakna  iskekal  turun  temurun.  berjaya  berguna-guna  kebanyakan  yang  ada  pada  kerajaannya,  iaitu  bahawa  mereka  akan  mencari  perasaan  dan  memperbaiknya  dengan  penyenggarah  benda  lain.",1.368421052631579
7,ini  bukanlah  apa  yang  saya  maksudkan  atau  apa  yang  telah  saya  rumuskan.  tujuan  saya  ialah  mahu  menumpukan  perhatian  kepada  beberapa  faktor  hakiki  yang  merencatkan  kemajuan  orang  melayu  terutama  faktor  yang  boleh  dibaiki.,"ini  bukanlah  apa  yang  saya  maksudkan  atau  apa  yang �punjakan.  tujuan  saya,  ilah  mahu  menumpukan  perhatian  kepada  beberapa  faktor  hakiki  yang  merencatkan  kemajuhan  orang  melayu,  terutama  faktofaktur  yang  boleh  dibaiki.  berita  berkata-baraan  dihidupi dengan kerajaannya.",0.40625
8,"jika  amalan  yang  dianggap  kurang  baik  itu  diketahui  dan  diakui  oleh  umum,  maka  lebih  mudahlah  untuk  mengatasinya  pada  umumnya  orang-orang  islam,  termasuk  orang -orang  melayu  memang  tidak  dapat  menerima  fikiran -fikiran  moden  mengenai  evolusi","jika  amalan  yang  dianggap  kurang  baik  itu  diketahui  dan  diaakuai  oleh  umum,  maka  lebih  mudahlah  untuk  mengatasinya,  pada  umumnya,  orang-orang  islam,  termasuk  orang-orang ‎melayu,  memang  tidak  dapat  menerima  fikiran‐fikiran  modern  mengenai  evolusi.  maka  kebanyakan  berkataan  bahawa  terdapatkan  perjayaannya  dengan  penyakit  atau  kerajaan.",0.5882352941176471
9,manusia.  meskipun  begitu  orang  melayu  sendiri  mengakui  bahawa  ciri-ciri  tentu  dalam  diri  seseorang  itu  diturunkan  dari  ibu  bapa  kepada  anak -anak  mereka.,"manusia.  meskipun  begitu,  orang  melayu  sendiri  mengakui  bahawa  ciri-ciri  tentu  dalam  diri  sesuatu  itu  diturunkan  dari  ibu  bapa  kepada  anak  mereka.  mereka  berjaya  menanggapkan  kebanyakan  yang  tersebut adalah  seorang  wanita.",0.5454545454545454
